timestep,id,x,y,angle,type,speed,pos,lane,slope,signals,acceleration,distance,odometer,posLat
0,bus0,-104.996667,39.732112,270.14,bus_bus,0,12.1,336167361#0_0,0,0,0,12.1,0,0
0,veh0,-104.990763,39.725715,90.39,veh_passenger,0,5.1,427704888#4_4,0,0,0,5.1,0,0
1,bus0,-104.996674,39.732112,270.12,bus_bus,0.62,12.72,336167361#0_0,0,0,0.62,12.72,0.62,0
1,veh0,-104.990736,39.725715,90.39,veh_passenger,2.34,7.44,427704888#4_4,0,2,2.34,7.44,2.34,0
1,veh1,-104.990296,39.729562,328.88,veh_passenger,0,5.1,1121174297_1,0,0,0,5.1,0,0
1,veh2,-104.960328,39.727314,269.85,veh_passenger,0,5.1,586800346#3_0,0,0,0,5.1,0,0
2,bus0,-104.996692,39.732112,270.1,bus_bus,1.57,14.29,336167361#0_0,0,0,0.95,14.29,2.19,0
2,bus1,-105.02491,39.74756,89.86,bus_bus,0,12.1,-628592111#3_0,0,0,0,12.1,0,0
2,veh0,-104.990692,39.725715,90.39,veh_passenger,3.78,11.22,427704888#4_4,0,2,1.44,11.22,6.12,0
2,veh1,-104.990303,39.729573,329.73,veh_passenger,1.38,6.48,1121174297_1,0,0,1.38,6.48,1.38,0
2,veh2,-104.960351,39.727314,269.85,veh_passenger,1.98,7.08,586800346#3_0,0,0,1.98,7.08,1.98,0
2,veh3,-105.011973,39.74027,91.65,veh_passenger,0,5.1,628707473_2,0,0,0,5.1,0,0
2,veh4,-104.97575,39.749598,0.01,veh_passenger,0,5.1,16985352#3_0,0,0,0,5.1,0,0
3,bus0,-104.996719,39.732112,270.1,bus_bus,2.31,16.59,336167361#0_0,0,0,0.74,16.59,4.49,0
3,bus1,-105.024901,39.74756,89.86,bus_bus,0.7,12.8,-628592111#3_0,0,0,0.7,12.8,0.7,0
3,bus2,-105.006431,39.741251,170.55,bus_bus,0,12.1,499501844#0_0,0,0,0,12.1,0,0
3,veh0,-104.990641,39.725714,90.42,veh_passenger,4.34,15.56,427704888#4_4,0,2,0.56,15.56,10.46,0
3,veh1,-104.990318,39.729594,331.39,veh_passenger,2.7,9.18,1121174297_1,0,0,1.33,9.18,4.08,0
3,veh2,-104.9604,39.727314,269.85,veh_passenger,4.19,11.27,586800346#3_0,0,0,2.21,11.27,6.17,0
3,veh3,-105.011948,39.740269,91.65,veh_passenger,2.22,7.32,628707473_2,0,0,2.22,7.32,2.22,0
3,veh4,-104.97575,39.749613,0.01,veh_passenger,1.58,6.68,16985352#3_0,0,0,1.58,6.68,1.58,0
3,veh5,-104.982449,39.74871,225.23,veh_passenger,0,5.1,-781314133#1_0,0,0,0,5.1,0,0
3,veh6,-105.020361,39.740614,179.91,veh_passenger,14.53,5.1,-16982617#2_0,0,0,0,5.1,0,0
4,bus0,-104.996756,39.732112,270.09,bus_bus,3.16,19.76,336167361#0_0,0,0,0.86,19.76,7.66,0
4,bus1,-105.024881,39.74756,89.86,bus_bus,1.71,14.5,-628592111#3_0,0,0,1.01,14.5,2.4,0
4,bus2,-105.006433,39.741244,173.05,bus_bus,0.81,12.91,499501844#0_0,0,2,0.81,12.91,0.81,0
4,bus3,-104.990026,39.725682,90.4,bus_bus,0,12.1,628677783#0_3,0,0,0,12.1,0,0
4,veh0,-104.99064,39.725714,90.42,veh_passenger,0.11,15.67,427704888#4_4,0,10,-4.23,15.67,10.57,0
4,veh1,-104.990341,39.729627,331.57,veh_passenger,4.14,0.18,:3473301079_1_0,0,0,1.44,13.32,8.22,0
4,veh2,-104.960464,39.727314,269.85,veh_passenger,5.52,16.79,586800346#3_0,0,0,1.33,16.79,11.69,0
4,veh3,-105.011892,39.740268,91.65,veh_passenger,4.73,12.05,628707473_2,0,0,2.51,12.05,6.95,0
4,veh4,-104.97575,39.749648,0.02,veh_passenger,3.96,10.64,16985352#3_0,0,0,2.38,10.64,5.54,0
4,veh5,-104.982468,39.748696,225.16,veh_passenger,2.25,7.35,-781314133#1_0,0,0,2.25,7.35,2.25,0
4,veh6,-105.020361,39.740487,179.91,veh_passenger,14.05,19.15,-16982617#2_0,0,2,-0.47,19.15,14.05,0
4,veh7,-104.973507,39.750748,270.13,veh_passenger,0,5.1,-446229412#15_0,0,0,0,5.1,0,0
4,veh8,-104.976315,39.746032,315.78,veh_passenger,0,5.1,781383478#2_1,0,0,0,5.1,0,0
4,veh9,-105.025168,39.750105,0.15,veh_passenger,0,5.1,628585103#6_0,0,0,0,5.1,0,0
5,bus0,-104.996807,39.732112,270.09,bus_bus,4.33,24.09,336167361#0_0,0,0,1.17,24.09,11.99,0
5,bus1,-105.024848,39.74756,89.87,bus_bus,2.84,17.34,-628592111#3_0,0,0,1.13,17.34,5.24,0
5,bus2,-105.006438,39.741228,178.72,bus_bus,1.83,14.74,499501844#0_0,0,2,1.02,14.74,2.64,0
5,bus3,-104.990016,39.725682,90.4,bus_bus,0.92,13.02,628677783#0_3,0,0,0.92,13.02,0.92,0
5,veh0,-104.99064,39.725714,90.43,veh_passenger,0.04,15.7,427704888#4_4,0,10,-0.07,15.7,10.6,0
5,veh1,-104.990379,39.729681,331.52,veh_passenger,6.16,2.32,646140569#0_0,0,0,2.02,2.32,14.39,0
5,veh10,-104.991503,39.738445,89.74,veh_passenger,0,5.1,130911269#0_0,0,0,0,5.1,0,0
5,veh11,-104.986203,39.747984,313.67,veh_passenger,0,5.1,89783817#0_3,0,0,0,5.1,0,0
5,veh2,-104.96055,39.727314,269.85,veh_passenger,7.33,24.12,586800346#3_0,0,0,1.81,24.12,19.02,0
5,veh3,-105.01181,39.740266,91.65,veh_passenger,7.07,19.12,628707473_2,0,0,2.34,19.12,14.02,0
5,veh4,-104.97575,39.749698,0.02,veh_passenger,5.57,16.2,16985352#3_0,0,0,1.61,16.2,11.1,0
5,veh5,-104.982502,39.74867,225.15,veh_passenger,4.11,11.46,-781314133#1_0,0,0,1.86,11.46,6.36,0
5,veh6,-105.02036,39.740364,179.91,veh_passenger,13.69,32.84,-16982617#2_0,0,2,-0.36,32.84,27.74,0
5,veh7,-104.973526,39.750748,270.12,veh_passenger,1.68,6.78,-446229412#15_0,0,0,1.68,6.78,1.68,0
5,veh8,-104.976332,39.746046,315.78,veh_passenger,2.08,7.18,781383478#2_1,0,2,2.08,7.18,2.08,0
5,veh9,-105.025168,39.750128,0.12,veh_passenger,2.58,7.68,628585103#6_0,0,0,2.58,7.68,2.58,0
6,bus0,-104.996867,39.732112,270.09,bus_bus,5.14,29.24,336167361#0_0,0,0,0.81,29.24,17.14,0
6,bus1,-105.024805,39.74756,89.87,bus_bus,3.75,21.09,-628592111#3_0,0,0,0.91,21.09,8.99,0
6,bus2,-105.006451,39.741205,188.17,bus_bus,2.78,17.52,499501844#0_0,0,2,0.95,17.52,5.42,0
6,bus3,-104.989997,39.725682,90.4,bus_bus,1.58,14.6,628677783#0_3,0,0,0.66,14.6,2.5,0
6,bus4,-104.961007,39.738586,0.28,bus_bus,0,12.1,131625591#5_0,0,0,0,12.1,0,0
6,veh0,-104.990639,39.725714,90.43,veh_passenger,0,15.71,427704888#4_4,0,10,-0.03,15.71,10.61,0
6,veh1,-104.99042,39.72974,331.53,veh_passenger,7.6,9.92,646140569#0_0,0,0,1.44,9.92,21.99,0
6,veh10,-104.991474,39.738445,89.67,veh_passenger,2.55,7.65,130911269#0_0,0,1,2.55,7.65,2.55,0
6,veh11,-104.986223,39.747999,313.67,veh_passenger,2.41,7.51,89783817#0_3,0,0,2.41,7.51,2.41,0
6,veh12,-104.968903,39.733744,269.72,veh_passenger,14.54,5.1,-335716614#12_0,0,0,0,5.1,0,0
6,veh13,-105.005522,39.747541,239.89,veh_passenger,0,5.1,628634506#0_2,0,0,0,5.1,0,0
6,veh2,-104.96066,39.727314,269.85,veh_passenger,9.49,33.61,586800346#3_0,0,0,2.16,33.61,28.51,0
6,veh3,-105.011701,39.740264,91.65,veh_passenger,9.36,28.47,628707473_2,0,0,2.29,28.47,23.37,0
6,veh4,-104.97575,39.749769,0.02,veh_passenger,7.82,24.02,16985352#3_0,0,0,2.25,24.02,18.92,0
6,veh5,-104.982552,39.748631,225.15,veh_passenger,6.06,17.52,-781314133#1_0,0,0,1.95,17.52,12.42,0
6,veh6,-105.02036,39.740247,179.91,veh_passenger,12.96,45.8,-16982617#2_0,0,2,-0.73,45.8,40.7,0
6,veh7,-104.973567,39.750748,270.1,veh_passenger,3.47,10.25,-446229412#15_0,0,0,1.79,10.25,5.15,0
6,veh8,-104.97636,39.746068,315.78,veh_passenger,3.44,10.63,781383478#2_1,0,2,1.36,10.63,5.53,0
6,veh9,-105.025168,39.750171,0.12,veh_passenger,4.78,12.45,628585103#6_0,0,0,2.2,12.45,7.35,0
7,bus0,-104.996936,39.732112,270.09,bus_bus,5.96,35.2,336167361#0_0,0,0,0.82,35.2,23.1,0
7,bus1,-105.024752,39.747561,89.87,bus_bus,4.54,25.63,-628592111#3_0,0,0,0.8,25.63,13.53,0
7,bus2,-105.006473,39.741178,199.42,bus_bus,3.6,0.1,:4907703660_1_0,0,2,0.81,21.12,9.02,0
7,bus3,-104.989966,39.725682,90.4,bus_bus,2.7,17.31,628677783#0_3,0,0,1.12,17.31,5.21,0
7,bus4,-104.961007,39.738597,0.28,bus_bus,1.18,13.28,131625591#5_0,0,0,1.18,13.28,1.18,0
7,bus5,-104.971589,39.732046,89.68,bus_bus,0,12.1,-579543366#10_0,0,0,0,12.1,0,0
7,veh0,-104.990639,39.725714,90.43,veh_passenger,0,15.71,427704888#4_4,0,10,0,15.71,10.61,0
7,veh1,-104.990475,39.729818,331.53,veh_passenger,10.07,19.99,646140569#0_0,0,0,2.47,19.99,32.06,0
7,veh10,-104.991418,39.738445,89.67,veh_passenger,4.76,12.41,130911269#0_0,0,1,2.21,12.41,7.31,0
7,veh11,-104.986256,39.748024,313.67,veh_passenger,3.87,11.39,89783817#0_3,0,0,1.46,11.39,6.29,0
7,veh12,-104.969063,39.733743,269.72,veh_passenger,13.69,18.79,-335716614#12_0,0,0,-0.85,18.79,13.69,0
7,veh13,-105.005539,39.747533,239.8,veh_passenger,1.73,6.83,628634506#0_2,0,0,1.73,6.83,1.73,0
7,veh14,-105.02524,39.755309,180,veh_passenger,15.51,5.1,628585100#0_3,0,0,0,5.1,0,0
7,veh15,-104.978161,39.754502,179.14,veh_passenger,0,5.1,-549942085_0,0,0,0,5.1,0,0
7,veh16,-104.998724,39.739842,150.34,veh_passenger,0,5.1,132706724#0_0,0,0,0,5.1,0,0
7,veh2,-104.960779,39.727313,269.85,veh_passenger,10.21,43.82,586800346#3_0,0,0,0.71,43.82,38.72,0
7,veh3,-105.011564,39.740261,91.65,veh_passenger,11.69,40.16,628707473_2,0,0,2.33,40.16,35.06,0
7,veh4,-104.97575,39.749859,0.02,veh_passenger,10.03,34.05,16985352#3_0,0,2,2.21,34.05,28.95,0
7,veh5,-104.982624,39.748576,225.15,veh_passenger,8.65,26.17,-781314133#1_0,0,0,2.59,26.17,21.07,0
7,veh6,-105.02036,39.740167,179.91,veh_passenger,8.83,54.63,-16982617#2_0,0,10,-4.13,54.63,49.53,0
7,veh7,-104.973628,39.750749,270.1,veh_passenger,5.25,15.5,-446229412#15_0,0,0,1.78,15.5,10.4,0
7,veh8,-104.976382,39.746086,315.77,veh_passenger,2.75,13.38,781383478#2_1,0,10,-0.69,13.38,8.28,0
7,veh9,-105.025168,39.750229,0.12,veh_passenger,6.42,18.88,628585103#6_0,0,0,1.65,18.88,13.78,0
8,bus0,-104.997016,39.732112,270.09,bus_bus,6.83,42.03,336167361#0_0,0,0,0.86,42.03,29.93,0
8,bus1,-105.024691,39.747561,89.87,bus_bus,5.21,30.84,-628592111#3_0,0,0,0.67,30.84,18.74,0
8,bus2,-105.0065,39.741142,208.08,bus_bus,4.61,4.71,:4907703660_1_0,0,2,1.02,25.73,13.63,0
8,bus3,-104.989923,39.725682,90.4,bus_bus,3.63,20.94,628677783#0_3,0,0,0.93,20.94,8.84,0
8,bus4,-104.961007,39.738618,0.28,bus_bus,2.34,15.62,131625591#5_0,0,0,1.17,15.62,3.52,0
8,bus5,-104.971575,39.732046,89.66,bus_bus,1.17,13.27,-579543366#10_0,0,2,1.17,13.27,1.17,0
8,bus6,-104.983691,39.747492,90.23,bus_bus,0,12.1,-131612993#1_0,0,0,0,12.1,0,0
8,veh0,-104.990639,39.725714,90.43,veh_passenger,0,15.71,427704888#4_4,0,10,0,15.71,10.61,0
8,veh1,-104.990575,39.729899,331.54,veh_passenger,12.32,32.31,646140569#0_1,0,0,2.25,32.31,44.38,0
8,veh10,-104.991334,39.738446,89.67,veh_passenger,7.17,19.58,130911269#0_0,0,1,2.42,19.58,14.48,0
8,veh11,-104.986309,39.748063,313.74,veh_passenger,6.3,17.69,89783817#0_3,0,0,2.43,17.69,12.59,0
8,veh12,-104.969224,39.733743,269.72,veh_passenger,13.74,32.54,-335716614#12_0,0,0,0.05,32.54,27.44,0
8,veh13,-105.005572,39.747518,239.79,veh_passenger,3.23,10.06,628634506#0_2,0,0,1.5,10.06,4.96,0
8,veh14,-105.02524,39.75518,180,veh_passenger,14.29,19.39,628585100#0_3,0,2,-1.22,19.39,14.29,0
8,veh15,-104.978161,39.754483,179.24,veh_passenger,2.12,7.22,-549942085_0,0,0,2.12,7.22,2.12,0
8,veh16,-104.99871,39.739823,150.34,veh_passenger,2.38,7.48,132706724#0_0,0,0,2.38,7.48,2.38,0
8,veh17,-104.973931,39.746085,286.75,veh_passenger,0,5.1,-628620751#1_0,0,0,0,5.1,0,0
8,veh18,-104.982465,39.736859,270.06,veh_passenger,0,5.1,628657310#0_2,0,0,0,5.1,0,0
8,veh2,-104.960907,39.727313,269.83,veh_passenger,10.96,54.78,586800346#3_0,0,0,0.75,54.78,49.68,0
8,veh3,-105.011407,39.740257,91.65,veh_passenger,13.5,53.66,628707473_2,0,0,1.81,53.66,48.56,0
8,veh4,-104.97575,39.749969,0.02,veh_passenger,12.17,46.22,16985352#3_0,0,2,2.15,46.22,41.12,0
8,veh5,-104.982692,39.748524,225.15,veh_passenger,8.24,34.41,-781314133#1_0,0,0,-0.41,34.41,29.31,0
8,veh6,-105.020355,39.74009,175.53,veh_passenger,8.59,4.11,:cluster_176065476_635597623_1_0,0,2,-0.24,63.23,58.13,0
8,veh7,-104.973712,39.750749,270.1,veh_passenger,7.2,22.7,-446229412#15_0,0,0,1.96,22.7,17.6,0
8,veh8,-104.976384,39.746087,315.77,veh_passenger,0.26,13.64,781383478#2_1,0,10,-2.49,13.64,8.54,0
8,veh9,-105.025167,39.750301,0.12,veh_passenger,7.93,26.81,628585103#6_0,0,1,1.51,26.81,21.71,0
9,bus0,-104.997109,39.732112,270.1,bus_bus,7.96,49.99,336167361#0_0,0,0,1.13,49.99,37.89,0
9,bus1,-105.024619,39.747561,89.84,bus_bus,6.13,0.73,:3308985707_2_0,0,0,0.92,36.97,24.87,0
9,bus2,-105.006516,39.741097,203.96,bus_bus,5.54,10.25,:4907703660_1_0,0,2,0.93,31.27,19.17,0
9,bus3,-104.989868,39.725682,90.4,bus_bus,4.7,25.63,628677783#0_3,0,0,1.07,25.63,13.53,0
9,bus4,-104.961007,39.738647,0.28,bus_bus,3.26,18.89,131625591#5_0,0,0,0.92,18.89,6.79,0
9,bus5,-104.971552,39.732046,89.66,bus_bus,1.95,15.23,-579543366#10_0,0,2,0.78,15.23,3.13,0
9,bus6,-104.983683,39.747492,90.33,bus_bus,0.68,0.15,:176072814_8_0,0,1,0.68,12.78,0.68,0
9,veh0,-104.990639,39.725714,90.43,veh_passenger,0,15.71,427704888#4_4,0,10,0,15.71,10.61,0
9,veh1,-104.990657,39.730014,330.67,veh_passenger,14.51,10.6,:176094964_4_1,0,0,2.19,46.82,58.89,0
9,veh10,-104.991226,39.738446,89.67,veh_passenger,9.33,28.91,130911269#0_0,0,1,2.15,28.91,23.81,0
9,veh11,-104.986376,39.748112,313.76,veh_passenger,7.97,25.65,89783817#0_3,0,0,1.66,25.65,20.55,0
9,veh12,-104.969336,39.733742,269.72,veh_passenger,9.66,42.2,-335716614#12_0,0,8,-4.09,42.2,37.1,0
9,veh13,-105.00563,39.747492,239.79,veh_passenger,5.82,15.88,628634506#0_2,0,0,2.59,15.88,10.78,0
9,veh14,-105.02524,39.755041,180.02,veh_passenger,15.43,34.82,628585100#0_3,0,2,1.14,34.82,29.72,0
9,veh15,-104.978161,39.754442,180.03,veh_passenger,4.55,11.77,-549942085_0,0,0,2.43,11.77,6.67,0
9,veh16,-104.998685,39.73979,150.34,veh_passenger,4.27,11.74,132706724#0_0,0,0,1.89,11.74,6.64,0
9,veh17,-104.973952,39.74609,286.75,veh_passenger,1.83,6.93,-628620751#1_0,0,0,1.83,6.93,1.83,0
9,veh18,-104.982486,39.736859,270.06,veh_passenger,1.83,6.93,628657310#0_2,0,2,1.83,6.93,1.83,0
9,veh19,-105.010572,39.725592,88.87,veh_passenger,0,5.1,567446119_1,0,0,0,5.1,0,0
9,veh2,-104.961031,39.727313,269.83,veh_passenger,10.61,65.38,586800346#3_0,0,0,-0.35,65.38,60.28,0
9,veh20,-104.980219,39.748918,134.62,veh_passenger,0,5.1,-798190532#2_0,0,0,0,5.1,0,0
9,veh3,-105.011233,39.740254,91.65,veh_passenger,14.86,68.52,628707473_2,0,0,1.36,68.52,63.42,0
9,veh4,-104.97575,39.750088,0.02,veh_passenger,13.27,59.49,16985352#3_0,0,2,1.09,59.49,54.39,0
9,veh5,-104.982759,39.748473,225.15,veh_passenger,8.09,42.5,-781314133#1_0,0,0,-0.15,42.5,37.4,0
9,veh6,-105.020309,39.740021,142.81,veh_passenger,8.97,13.08,:cluster_176065476_635597623_1_0,0,2,0.38,72.2,67.1,0
9,veh7,-104.973816,39.750749,270.1,veh_passenger,8.89,31.59,-446229412#15_0,0,0,1.69,31.59,26.49,0
9,veh8,-104.976385,39.746088,315.76,veh_passenger,0.04,13.68,781383478#2_1,0,10,-0.22,13.68,8.58,0
9,veh9,-105.025167,39.750393,0.12,veh_passenger,10.18,36.99,628585103#6_0,0,1,2.25,36.99,31.89,0
10,bus0,-104.997212,39.732112,270.11,bus_bus,8.86,58.85,336167361#0_0,0,0,0.9,58.85,46.75,0
10,bus1,-105.024536,39.747561,89.84,bus_bus,7.14,7.87,:3308985707_2_0,0,0,1.01,44.11,32.01,0
10,bus2,-105.006442,39.741111,121.49,bus_bus,6.74,16.99,:4907703660_1_0,0,2,1.19,38.01,25.91,0
10,bus3,-104.989804,39.725681,90.4,bus_bus,5.47,31.11,628677783#0_3,0,0,0.78,31.11,19.01,0
10,bus4,-104.961007,39.738686,0.28,bus_bus,4.27,23.16,131625591#5_0,0,0,1.01,23.16,11.06,0
10,bus5,-104.971522,39.732046,89.66,bus_bus,2.64,17.87,-579543366#10_0,0,2,0.69,17.87,5.77,0
10,bus6,-104.983663,39.74749,91.51,bus_bus,1.79,1.94,:176072814_8_0,0,1,1.11,14.57,2.47,0
10,bus7,-104.97295,39.729263,359.86,bus_bus,0,12.1,337148297#11_0,0,0,0,12.1,0,0
10,veh0,-104.990639,39.725714,90.43,veh_passenger,0,15.71,427704888#4_4,0,10,0,15.71,10.61,0
10,veh1,-104.99074,39.730126,329.82,veh_passenger,14.32,6.79,132741915#0_1,0,0,-0.19,6.79,73.21,0
10,veh10,-104.991094,39.738447,89.67,veh_passenger,11.25,40.16,130911269#0_0,0,1,1.92,40.16,35.06,0
10,veh11,-104.986407,39.748135,313.76,veh_passenger,3.61,29.26,89783817#0_3,0,8,-4.36,29.26,24.16,0
10,veh12,-104.969397,39.733742,269.72,veh_passenger,5.16,47.36,-335716614#12_0,0,8,-4.5,47.36,42.26,0
10,veh13,-105.005713,39.747455,239.81,veh_passenger,8.22,24.1,628634506#0_2,0,0,2.4,24.1,19,0
10,veh14,-105.02524,39.754943,180.02,veh_passenger,10.93,45.75,628585100#0_3,0,10,-4.5,45.75,40.65,0
10,veh15,-104.978161,39.754382,180.03,veh_passenger,6.66,18.43,-549942085_0,0,0,2.11,18.43,13.33,0
10,veh16,-104.998649,39.73974,150.34,veh_passenger,6.34,18.08,132706724#0_0,0,0,2.07,18.08,12.98,0
10,veh17,-104.974,39.746101,286.76,veh_passenger,4.3,1.2,:3376601239_0_0,0,0,2.47,11.22,6.12,0
10,veh18,-104.982534,39.736859,270.06,veh_passenger,4.17,11.11,628657310#0_2,0,2,2.34,11.11,6.01,0
10,veh19,-105.010542,39.725593,88.87,veh_passenger,2.51,7.61,567446119_1,0,0,2.51,7.61,2.51,0
10,veh2,-104.961147,39.727313,269.83,veh_passenger,9.9,75.29,586800346#3_0,0,0,-0.7,75.29,70.19,0
10,veh20,-104.980206,39.748909,134.64,veh_passenger,1.54,6.64,-798190532#2_0,0,1,1.54,6.64,1.54,0
10,veh21,-104.963615,39.749478,269.87,veh_passenger,0,5.1,-279927547#1_0,0,0,0,5.1,0,0
10,veh22,-104.974226,39.727293,269.98,veh_passenger,0,5.1,-337216230#5_0,0,0,0,5.1,0,0
10,veh23,-104.991785,39.740153,270.47,veh_passenger,0,5.1,427702697#0_0,0,0,0,5.1,0,0
10,veh3,-105.01104,39.740248,93.67,veh_passenger,16.61,1.69,:5935868127_0_0,0,0,1.74,85.13,80.03,0
10,veh4,-104.97575,39.750209,0.02,veh_passenger,13.42,72.91,16985352#3_0,0,2,0.15,72.91,67.81,0
10,veh5,-104.982826,39.748421,225.15,veh_passenger,8.09,50.59,-781314133#1_0,0,0,0,50.59,45.49,0
10,veh6,-105.020213,39.740007,94.78,veh_passenger,8.44,4.15,16981556#3_0,0,0,-0.53,4.15,75.54,0
10,veh7,-104.973941,39.750749,270.1,veh_passenger,10.73,42.32,-446229412#15_0,0,0,1.84,42.32,37.22,0
10,veh8,-104.976385,39.746088,315.76,veh_passenger,0.02,13.7,781383478#2_1,0,10,-0.03,13.7,8.6,0
10,veh9,-105.025167,39.750503,0.12,veh_passenger,12.23,49.23,628585103#6_0,0,1,2.05,49.23,44.13,0
11,bus0,-104.997327,39.732113,270.11,bus_bus,9.83,68.67,336167361#0_0,0,0,0.96,68.67,56.57,0
